pitchwheel channel=15 pitch=0 time=48
pitchwheel channel=9 pitch=0 time=0
note_on channel=2 note=61 velocity=0 time=94
note_on channel=2 note=64 velocity=76 time=26
note_on channel=2 note=44 velocity=0 time=28
note_on channel=2 note=52 velocity=0 time=31
note_on channel=2 note=56 velocity=0 time=21
note_on channel=2 note=61 velocity=72 time=40
note_on channel=2 note=64 velocity=0 time=9
note_on channel=2 note=61 velocity=0 time=90
note_on channel=3 note=69 velocity=0 time=17
note_on channel=2 note=42 velocity=75 time=4
note_on channel=2 note=49 velocity=75 time=0
note_on channel=2 note=54 velocity=75 time=0
note_on channel=3 note=66 velocity=62 time=0
note_on channel=3 note=66 velocity=0 time=87
note_on channel=2 note=61 velocity=71 time=4
note_on channel=2 note=61 velocity=0 time=19
note_on channel=2 note=66 velocity=72 time=45
note_on channel=2 note=54 velocity=0 time=54
note_on channel=2 note=61 velocity=73 time=66
note_on channel=2 note=66 velocity=0 time=2
note_on channel=2 note=61 velocity=0 time=108
note_on channel=2 note=54 velocity=69 time=0
note_on channel=3 note=76 velocity=85 time=0
note_on channel=2 note=61 velocity=72 time=120
note_on channel=2 note=54 velocity=0 time=22
note_on channel=3 note=76 velocity=0 time=75
note_on channel=2 note=66 velocity=73 time=0
note_on channel=3 note=76 velocity=78 time=0
note_on channel=2 note=61 velocity=0 time=14
note_on channel=3 note=76 velocity=0 time=96
note_on channel=2 note=61 velocity=72 time=0
note_on channel=3 note=73 velocity=85 time=0
note_on channel=2 note=66 velocity=0 time=15
note_on channel=2 note=61 velocity=0 time=99
note_on channel=2 note=54 velocity=74 time=6
note_on channel=2 note=61 velocity=70 time=120
note_on channel=2 note=54 velocity=0 time=22
note_on channel=2 note=61 velocity=0 time=90
note_on channel=2 note=66 velocity=74 time=8
note_on channel=2 note=61 velocity=73 time=120
note_on channel=2 note=66 velocity=0 time=9
note_on channel=2 note=61 velocity=0 time=84
note_on channel=3 note=73 velocity=0 time=23
note_on channel=2 note=54 velocity=74 time=0
note_on channel=3 note=71 velocity=85 time=0
note_on channel=3 note=71 velocity=0 time=116
note_on channel=2 note=61 velocity=71 time=0
note_on channel=3 note=69 velocity=79 time=0
note_on channel=2 note=49 velocity=0 time=82
note_on channel=2 note=61 velocity=0 time=1
note_on channel=2 note=42 velocity=0 time=10
note_on channel=2 note=66 velocity=75 time=27
note_on channel=2 note=54 velocity=0 time=47
note_on channel=2 note=61 velocity=71 time=73
note_on channel=2 note=66 velocity=0 time=7
note_on channel=2 note=61 velocity=0 time=107
note_on channel=3 note=69 velocity=0 time=2
note_on channel=2 note=38 velocity=76 time=4
note_on channel=2 note=45 velocity=76 time=0
note_on channel=2 note=54 velocity=76 time=0
note_on channel=3 note=66 velocity=61 time=0
note_on channel=3 note=66 velocity=0 time=98
note_on channel=2 note=62 velocity=71 time=4
note_on channel=2 note=66 velocity=74 time=67
note_on channel=2 note=62 velocity=0 time=25
note_on channel=2 note=54 velocity=0 time=95
note_on channel=2 note=62 velocity=74 time=0
note_on channel=2 note=66 velocity=0 time=6
note_on channel=2 note=54 velocity=75 time=0
note_on channel=3 note=76 velocity=89 time=0
note_on channel=2 note=62 velocity=0 time=3
note_on channel=3 note=76 velocity=0 time=97
note_on channel=2 note=62 velocity=74 time=0
note_on channel=3 note=76 velocity=82 time=0
note_on channel=2 note=54 velocity=0 time=118
note_on channel=2 note=66 velocity=74 time=2
note_on channel=2 note=62 velocity=0 time=10
note_on channel=3 note=76 velocity=0 time=106
note_on channel=2 note=62 velocity=77 time=0
note_on channel=3 note=73 velocity=87 time=0
note_on channel=2 note=66 velocity=0 time=9
note_on channel=2 note=62 velocity=0 time=101
note_on channel=2 note=54 velocity=75 time=10
note_on channel=2 note=62 velocity=74 time=120
note_on channel=2 note=54 velocity=0 time=15
note_on channel=2 note=62 velocity=0 time=95
note_on channel=2 note=66 velocity=74 time=10
note_on channel=3 note=73 velocity=0 time=116
note_on channel=2 note=62 velocity=78 time=4
note_on channel=3 note=71 velocity=88 time=0
note_on channel=2 note=66 velocity=0 time=9
note_on channel=2 note=62 velocity=0 time=111
note_on channel=2 note=54 velocity=75 time=0
note_on channel=2 note=62 velocity=75 time=120
note_on channel=2 note=54 velocity=0 time=24
note_on channel=2 note=62 velocity=0 time=82
note_on channel=2 note=66 velocity=75 time=14
note_on channel=2 note=66 velocity=0 time=116
note_on channel=3 note=71 velocity=0 time=0
note_on channel=2 note=62 velocity=75 time=4
note_on channel=3 note=69 velocity=84 time=0
note_on channel=2 note=38 velocity=0 time=27
note_on channel=2 note=45 velocity=0 time=5
note_on channel=2 note=62 velocity=0 time=27
note_on channel=2 note=45 velocity=75 time=9
note_on channel=2 note=52 velocity=75 time=0
note_on channel=2 note=57 velocity=75 time=0
note_on channel=2 note=61 velocity=72 time=120
note_on channel=2 note=64 velocity=76 time=52
note_on channel=2 note=61 velocity=0 time=17
note_on channel=2 note=57 velocity=0 time=49
note_on channel=3 note=69 velocity=0 time=24
pitchwheel channel=3 pitch=-8192 time=22
note_on channel=2 note=61 velocity=76 time=0
note_on channel=3 note=76 velocity=86 time=0
note_on channel=2 note=64 velocity=0 time=11
pitchwheel channel=3 pitch=-8035 time=1
pitchwheel channel=3 pitch=-7877 time=7
pitchwheel channel=3 pitch=-7720 time=7
pitchwheel channel=3 pitch=-7562 time=5
pitchwheel channel=3 pitch=-7405 time=5
pitchwheel channel=3 pitch=-7247 time=3
pitchwheel channel=3 pitch=-7090 time=4
pitchwheel channel=3 pitch=-6932 time=3
pitchwheel channel=3 pitch=-6775 time=3
pitchwheel channel=3 pitch=-6617 time=4
pitchwheel channel=3 pitch=-6460 time=3
pitchwheel channel=3 pitch=-6302 time=4
pitchwheel channel=3 pitch=-6145 time=1
pitchwheel channel=3 pitch=-5987 time=4
pitchwheel channel=3 pitch=-5830 time=1
pitchwheel channel=3 pitch=-5672 time=4
pitchwheel channel=3 pitch=-5515 time=1
pitchwheel channel=3 pitch=-5357 time=2
pitchwheel channel=3 pitch=-5199 time=3
pitchwheel channel=3 pitch=-5042 time=2
