pitchwheel channel=1 pitch=0 time=5
pitchwheel channel=8 pitch=0 time=5
pitchwheel channel=3 pitch=0 time=5
pitchwheel channel=4 pitch=0 time=5
pitchwheel channel=6 pitch=0 time=5
pitchwheel channel=7 pitch=0 time=5
pitchwheel channel=9 pitch=0 time=5
pitchwheel channel=2 pitch=0 time=5
pitchwheel channel=10 pitch=0 time=0
pitchwheel channel=5 pitch=0 time=0
note_off channel=8 note=46 velocity=0 time=36
note_off channel=10 note=46 velocity=0 time=0
note_off channel=3 note=75 velocity=0 time=8
note_off channel=8 note=53 velocity=0 time=10
note_off channel=10 note=53 velocity=0 time=0
note_on channel=3 note=75 velocity=101 time=0
note_off channel=3 note=75 velocity=0 time=108
note_on channel=8 note=43 velocity=110 time=9
note_on channel=10 note=43 velocity=76 time=0
note_on channel=8 note=50 velocity=91 time=11
note_on channel=10 note=50 velocity=57 time=0
note_off channel=8 note=43 velocity=0 time=36
note_off channel=10 note=43 velocity=0 time=0
note_off channel=8 note=50 velocity=0 time=8
note_off channel=10 note=50 velocity=0 time=0
note_on channel=3 note=75 velocity=111 time=0
note_off channel=3 note=75 velocity=0 time=79
note_on channel=3 note=74 velocity=106 time=0
note_on channel=8 note=43 velocity=110 time=1
note_on channel=10 note=43 velocity=76 time=0
note_on channel=8 note=50 velocity=91 time=11
note_on channel=10 note=50 velocity=57 time=0
note_off channel=8 note=43 velocity=0 time=33
note_off channel=10 note=43 velocity=0 time=0
note_off channel=8 note=50 velocity=0 time=3
note_off channel=10 note=50 velocity=0 time=0
note_off channel=3 note=74 velocity=0 time=90
note_on channel=8 note=43 velocity=115 time=103
note_on channel=10 note=43 velocity=81 time=0
note_on channel=3 note=72 velocity=115 time=0
note_on channel=8 note=50 velocity=87 time=5
note_on channel=10 note=50 velocity=53 time=0
note_off channel=8 note=43 velocity=0 time=40
note_off channel=10 note=43 velocity=0 time=0
note_off channel=8 note=50 velocity=0 time=4
note_off channel=10 note=50 velocity=0 time=0
note_off channel=3 note=72 velocity=0 time=13
note_on channel=3 note=72 velocity=127 time=0
note_on channel=8 note=43 velocity=102 time=100
note_on channel=10 note=43 velocity=68 time=0
note_on channel=8 note=50 velocity=91 time=11
note_on channel=10 note=50 velocity=57 time=0
note_off channel=8 note=43 velocity=0 time=41
note_off channel=10 note=43 velocity=0 time=0
note_off channel=8 note=50 velocity=0 time=7
note_off channel=10 note=50 velocity=0 time=0
note_off channel=3 note=72 velocity=0 time=170
note_on channel=8 note=46 velocity=110 time=11
note_on channel=10 note=46 velocity=76 time=0
note_on channel=8 note=53 velocity=91 time=11
note_on channel=10 note=53 velocity=57 time=0
note_off channel=8 note=46 velocity=0 time=34
note_off channel=10 note=46 velocity=0 time=0
note_off channel=8 note=53 velocity=0 time=16
note_off channel=10 note=53 velocity=0 time=0
note_on channel=8 note=46 velocity=115 time=179
note_on channel=10 note=46 velocity=81 time=0
note_on channel=8 note=53 velocity=83 time=11
note_on channel=10 note=53 velocity=49 time=0
note_off channel=8 note=46 velocity=0 time=33
note_off channel=10 note=46 velocity=0 time=0
note_off channel=8 note=53 velocity=0 time=13
note_off channel=10 note=53 velocity=0 time=0
note_on channel=8 note=46 velocity=120 time=183
note_on channel=10 note=46 velocity=86 time=0
note_on channel=8 note=53 velocity=105 time=11
note_on channel=10 note=53 velocity=71 time=0
note_off channel=8 note=46 velocity=0 time=36
note_off channel=10 note=46 velocity=0 time=0
note_off channel=8 note=53 velocity=0 time=18
note_off channel=10 note=53 velocity=0 time=0
note_on channel=3 note=77 velocity=115 time=0
note_on channel=8 note=48 velocity=98 time=1
note_on channel=10 note=48 velocity=64 time=0
note_on channel=8 note=55 velocity=100 time=11
note_on channel=10 note=55 velocity=66 time=0
note_off channel=8 note=48 velocity=0 time=31
note_off channel=10 note=48 velocity=0 time=0
pitchwheel channel=3 pitch=520 time=13
note_off channel=8 note=55 velocity=0 time=3
note_off channel=10 note=55 velocity=0 time=0
pitchwheel channel=3 pitch=910 time=12
pitchwheel channel=3 pitch=1170 time=10
pitchwheel channel=3 pitch=1560 time=11
pitchwheel channel=3 pitch=1950 time=14
pitchwheel channel=3 pitch=2340 time=12
pitchwheel channel=3 pitch=2730 time=13
pitchwheel channel=3 pitch=3250 time=15
pitchwheel channel=3 pitch=3640 time=17
pitchwheel channel=3 pitch=4030 time=17
pitchwheel channel=3 pitch=4290 time=12
pitchwheel channel=3 pitch=4420 time=11
pitchwheel channel=3 pitch=4680 time=19
pitchwheel channel=3 pitch=4810 time=13
note_on channel=8 note=48 velocity=115 time=6
note_on channel=10 note=48 velocity=81 time=0
pitchwheel channel=3 pitch=5070 time=6
note_on channel=8 note=55 velocity=100 time=5
note_on channel=10 note=55 velocity=66 time=0
pitchwheel channel=3 pitch=5460 time=14
pitchwheel channel=3 pitch=5850 time=15
note_off channel=8 note=48 velocity=0 time=5
note_off channel=10 note=48 velocity=0 time=0
note_off channel=8 note=55 velocity=0 time=5
note_off channel=10 note=55 velocity=0 time=0
pitchwheel channel=3 pitch=6370 time=5
pitchwheel channel=3 pitch=6500 time=11
pitchwheel channel=3 pitch=6760 time=11
pitchwheel channel=3 pitch=6890 time=20
note_off channel=3 note=77 velocity=0 time=78
pitchwheel channel=3 pitch=6630 time=12
pitchwheel channel=3 pitch=5980 time=12
pitchwheel channel=3 pitch=5070 time=12
pitchwheel channel=3 pitch=4160 time=12
pitchwheel channel=3 pitch=3250 time=11
note_on channel=8 note=48 velocity=83 time=6
note_on channel=10 note=48 velocity=49 time=0
pitchwheel channel=3 pitch=2340 time=4
note_on channel=8 note=55 velocity=87 time=7
note_on channel=10 note=55 velocity=53 time=0
note_on channel=3 note=77 velocity=115 time=0
pitchwheel channel=3 pitch=1560 time=3
pitchwheel channel=3 pitch=1170 time=12
note_off channel=8 note=48 velocity=0 time=3
note_off channel=10 note=48 velocity=0 time=0
note_off channel=8 note=55 velocity=0 time=12
note_off channel=10 note=55 velocity=0 time=0
pitchwheel channel=3 pitch=1560 time=43
pitchwheel channel=3 pitch=1950 time=12
pitchwheel channel=3 pitch=2470 time=14
pitchwheel channel=3 pitch=2860 time=10
pitchwheel channel=3 pitch=3250 time=10
pitchwheel channel=3 pitch=3640 time=10
pitchwheel channel=3 pitch=4290 time=12
pitchwheel channel=3 pitch=4940 time=11
pitchwheel channel=3 pitch=5330 time=11
pitchwheel channel=3 pitch=5980 time=13
pitchwheel channel=3 pitch=6370 time=15
pitchwheel channel=3 pitch=6630 time=14
pitchwheel channel=3 pitch=6760 time=15
note_on channel=8 note=48 velocity=102 time=5
